channel,mean,rms,meanerr,rmserr,tv
1640,485.291,18.3709,0.230419,0.446783,10389
1802,624.922,15.2148,0.277275,0.355927,10389
1623,484.405,11.2843,0.169073,0.238617,10389
1801,439.725,12.928,0.27521,0.333771,10389
1624,420.615,10.4575,0.176533,0.235257,10389
1800,384.748,13.5189,0.217029,0.263819,10389
1625,342.58,9.73102,0.15058,0.234808,10389
1799,351.912,10.6136,0.182682,0.211783,10389
1626,370.368,11.3524,0.216903,0.425278,10389
1798,319.665,13.6731,0.297349,0.449003,10389
1627,372.129,9.95345,0.155412,0.295209,10389
1797,352.032,9.57049,0.177897,0.264185,10389
1628,397.808,9.57459,0.160585,0.284905,10389
1796,456.155,10.015,0.169073,0.316862,10389
1629,480.093,10.1828,0.166029,0.285426,10389
1795,530.683,9.16967,0.183563,0.225473,10389
1794,519.49,9.18422,0.177268,0.341218,10389
1793,501.753,12.7424,0.240207,0.412189,10389
1792,533.519,10.0984,0.200264,0.324856,10389
1632,467.906,10.2688,0.180419,0.233284,10389
1791,420.417,9.31412,0.224994,0.286355,10389
1633,392.097,7.00062,0.207332,0.413319,10389
1790,406.52,9.42862,0.150909,0.295798,10389
1634,391.467,8.80031,0.177017,0.347769,10389
1789,384.227,8.17933,0.144366,0.371967,10389
1635,354.196,13.1585,0.309618,0.783462,10389
1788,405.055,8.76289,0.162322,0.175251,10389
1636,433.333,13.3104,0.257605,0.45942,10389
1787,453.41,10.8904,0.176316,0.371691,10389
1637,399.895,8.55083,0.148361,0.158982,10389
1786,459.078,8.49001,0.155734,0.332137,10389
1638,570.529,12.6914,0.203936,0.387695,10389
1785,654.383,12.0747,0.203232,0.473931,10389
1630,585.925,14.2739,0.226657,0.450752,10389
2006,592.441,8.22756,0.146353,0.138443,10389
2007,487.689,8.97724,0.173493,0.164475,10389
2008,492.874,8.86163,0.180053,0.15488,10389
2009,552.183,9.04572,0.176687,0.210535,10389
2010,526.036,8.2464,0.173624,0.135979,10389
2011,595.691,9.14367,0.201434,0.154108,10389
2012,514.318,9.51027,0.194941,0.176005,10389
2013,596.155,8.55842,0.172221,0.147831,10389
2014,545.291,8.66432,0.191869,0.160487,10389
2015,551.514,7.62417,0.176029,0.156291,10389
2016,647.691,8.23178,0.226095,0.157997,10389
2017,678.121,8.04203,0.173395,0.164787,10389
2018,675.99,10.8921,0.365659,0.16405,10389
2019,659.94,8.64656,0.207224,0.150384,10389
1622,604.044,12.826,0.219728,0.250727,10389
1639,587.235,17.1423,0.238461,0.491295,10389
1992,422.349,10.0727,0.16735,0.210421,10389
1993,452.619,12.68,0.191868,0.306449,10389
1994,385.471,9.8256,0.151759,0.20994,10389
1995,341.799,8.45188,0.109294,0.125561,10389
1996,375.499,14.1062,0.206133,0.243227,10389
1997,408.414,9.54795,0.14578,0.130363,10389
1998,377.972,10.8814,0.228543,0.220198,10389
1999,461.915,7.97883,0.155729,0.137111,10389
2000,528.452,8.21115,0.15824,0.139953,10389
2001,502.447,10.6057,0.233066,0.20288,10389
2002,485.125,9.38918,0.170396,0.160278,10389
2003,531.666,9.14734,0.157929,0.137286,10389
2004,628.139,13.0411,0.300615,0.325814,10389
2005,611.972,9.44325,0.169065,0.153464,10389
1631,583.55,11.1267,0.198651,0.321966,10389
1811,511.386,13.3698,0.163293,0.313519,10389
1810,419.128,10.0587,0.143002,0.188893,10389
1614,387.51,9.17828,0.237966,0.571797,10389
1809,386.406,10.1522,0.133437,0.269627,10389
1615,361.48,8.73285,0.173307,0.259852,10389
1808,391.088,11.3292,0.145887,0.263671,10389
1616,381.976,12.0169,0.313208,0.457192,10389
1807,339.477,9.146,0.13313,0.231019,10389
1617,394.218,7.23232,0.158832,0.228403,10389
1806,347.53,8.42801,0.141968,0.179714,10389
1618,366.542,11.6378,0.273617,0.660793,10389
1805,386.089,9.9096,0.162132,0.268596,10389
1619,410.503,7.31931,0.154336,0.144681,10389
1804,418.671,10.0061,0.195929,0.253643,10389
1620,523.079,8.15716,0.155787,0.223637,10389
1803,536.632,10.7119,0.181887,0.222987,10389
1820,552.209,15.2209,0.195197,0.225879,10389
1605,391.256,5.48622,0.100158,0.375859,10389
1819,401.711,13.3203,0.253379,0.392321,10389
1606,327.293,8.47625,0.173748,0.28927,10389
1818,337.855,9.52232,0.118394,0.188876,10389
1607,371.087,8.39753,0.165653,0.25482,10389
1817,327.33,9.98398,0.149269,0.195643,10389
1608,318.19,9.28437,0.156866,0.283243,10389
1816,295.096,9.73361,0.138489,0.231725,10389
1609,377.849,14.8605,0.327537,0.562132,10389
1815,280.004,9.72999,0.12194,0.146755,10389
1610,357.937,8.18851,0.138062,0.243907,10389
1814,375.379,10.76,0.238505,0.285752,10389
1611,434.692,9.00598,0.145842,0.298848,10389
1813,455.672,11.9021,0.126597,0.265374,10389
1812,562.764,10.9823,0.127425,0.224768,10389
1621,617.606,12.0761,0.197349,0.302377,10389
2020,889.488,7.98871,0.255098,0.206459,10389
2021,780.902,6.56393,0.174161,0.181264,10389
2022,814.027,7.59368,0.196758,0.127151,10389
2023,681.511,6.73741,0.151847,0.115335,10389
2024,585.349,6.47941,0.156782,0.147369,10389
2025,607.664,6.33851,0.130929,0.0989598,10389
2026,562.605,9.68843,0.15705,0.130633,10389
2027,535.917,11.3423,0.166815,0.116149,10389
2028,603.454,10.1374,0.161628,0.12876,10389
2029,612.325,9.46949,0.145966,0.133734,10389
2030,664.931,12.1101,0.215636,0.1687,10389
2031,754.259,11.0384,0.148274,0.19731,10389
2032,695.603,10.2679,0.261575,0.255725,10389
2033,794.246,10.7561,0.169606,0.159326,10389
1613,729.638,11.1853,0.150442,0.302008,10389
1612,661.36,10.2203,0.198276,0.338116,10389
2034,730.797,8.49277,0.122439,0.137291,10389
2035,711.298,10.9345,0.162951,0.200534,10389
2036,646.598,7.69699,0.103035,0.220859,10389
2037,600.896,10.6522,0.14046,0.132441,10389
2038,547.156,9.95059,0.115061,0.127818,10389
2039,597.436,12.8327,0.159575,0.181761,10389
2040,642.405,9.23852,0.155387,0.146382,10389
2041,496.479,12.0099,0.123599,0.189554,10389
2042,514.709,9.30551,0.152887,0.142793,10389
2043,484.761,10.0955,0.147046,0.131244,10389
2044,472.806,8.18968,0.0996977,0.133111,10389
2045,482.532,9.23743,0.110656,0.138122,10389
2046,1374.41,1.94856,0.040306,0.0194348,10389
2047,674.044,14.5849,0.144201,0.196125,10389
1604,706.955,20.7358,0.435762,0.396473,10389
1694,684.094,16.4764,0.245674,0.210845,10389
1587,527.223,9.31059,0.118535,0.140312,10389
1693,490.877,9.64533,0.177113,0.146293,10389
1588,465.193,8.92511,0.112718,0.144195,10389
1692,488.629,10.7337,0.371603,0.465426,10389
1589,439.265,10.1746,0.187937,0.210618,10389
1691,3863.5,2.30491,0.186869,0.0275187,10389
1590,406.483,8.11981,0.137965,0.14583,10389
1690,438.327,11.8164,0.237904,0.191279,10389
1591,489.76,10.1801,0.135547,0.172277,10389
1689,499.002,12.0626,0.194615,0.207128,10389
1592,499.344,8.33295,0.121471,0.154317,10389
1688,509.525,11.7486,0.216348,0.176778,10389
1593,548.088,10.9826,0.135596,0.139813,10389
