channel,tv,chan_name
4700,0,35T.RCE07A_SET_V
4701,0,35T.RCE07B_SET_V
4702,0,35T.RCE07C_SET_V
4703,0,35T.RCE07D_SET_V
4704,0,35T.RCE07E_SET_V
4705,0,35T.RCE07A_RB_V
4706,0,35T.RCE07B_RB_V
4707,0,35T.RCE07C_RB_V
4708,0,35T.RCE07D_RB_V
4709,0,35T.RCE07E_RB_V
4710,0,35T.RCE07A_RB_I
4711,0,35T.RCE07B_RB_I
4712,0,35T.RCE07C_RB_I
4713,0,35T.RCE07D_RB_I
4714,0,35T.RCE07E_RB_I
4800,0,35T.RCE08A_SET_V
4801,0,35T.RCE08B_SET_V
4802,0,35T.RCE08C_SET_V
4803,0,35T.RCE08D_SET_V
4804,0,35T.RCE08E_SET_V
4805,0,35T.RCE08A_RB_V
4806,0,35T.RCE08B_RB_V
4807,0,35T.RCE08C_RB_V
4808,0,35T.RCE08D_RB_V
4809,0,35T.RCE08E_RB_V
4810,0,35T.RCE08A_RB_I
4811,0,35T.RCE08B_RB_I
4812,0,35T.RCE08C_RB_I
4813,0,35T.RCE08D_RB_I
4814,0,35T.RCE08E_RB_I
4900,0,35T.RCE09A_SET_V
4901,0,35T.RCE09B_SET_V
4902,0,35T.RCE09C_SET_V
4903,0,35T.RCE09D_SET_V
4904,0,35T.RCE09E_SET_V
4905,0,35T.RCE09A_RB_V
4906,0,35T.RCE09B_RB_V
4907,0,35T.RCE09C_RB_V
4908,0,35T.RCE09D_RB_V
4909,0,35T.RCE09E_RB_V
4910,0,35T.RCE09A_RB_I
4911,0,35T.RCE09B_RB_I
4912,0,35T.RCE09C_RB_I
4913,0,35T.RCE09D_RB_I
4914,0,35T.RCE09E_RB_I
5000,0,35T.RCE10A_SET_V
5001,0,35T.RCE10B_SET_V
5002,0,35T.RCE10C_SET_V
5003,0,35T.RCE10D_SET_V
5004,0,35T.RCE10E_SET_V
5005,0,35T.RCE10A_RB_V
5006,0,35T.RCE10B_RB_V
5007,0,35T.RCE10C_RB_V
5008,0,35T.RCE10D_RB_V
5009,0,35T.RCE10E_RB_V
5010,0,35T.RCE10A_RB_I
5011,0,35T.RCE10B_RB_I
5012,0,35T.RCE10C_RB_I
5013,0,35T.RCE10D_RB_I
5014,0,35T.RCE10E_RB_I
5100,0,35T.RCE11A_SET_V
5101,0,35T.RCE11B_SET_V
5102,0,35T.RCE11C_SET_V
5103,0,35T.RCE11D_SET_V
5104,0,35T.RCE11E_SET_V
5105,0,35T.RCE11A_RB_V
5106,0,35T.RCE11B_RB_V
5107,0,35T.RCE11C_RB_V
5108,0,35T.RCE11D_RB_V
5109,0,35T.RCE11E_RB_V
5110,0,35T.RCE11A_RB_I
5111,0,35T.RCE11B_RB_I
5112,0,35T.RCE11C_RB_I
5113,0,35T.RCE11D_RB_I
5114,0,35T.RCE11E_RB_I
5200,0,35T.RCE12A_SET_V
5201,0,35T.RCE12B_SET_V
5202,0,35T.RCE12C_SET_V
5203,0,35T.RCE12D_SET_V
5204,0,35T.RCE12E_SET_V
5205,0,35T.RCE12A_RB_V
5206,0,35T.RCE12B_RB_V
5207,0,35T.RCE12C_RB_V
5208,0,35T.RCE12D_RB_V
5209,0,35T.RCE12E_RB_V
5210,0,35T.RCE12A_RB_I
5211,0,35T.RCE12B_RB_I
5212,0,35T.RCE12C_RB_I
5213,0,35T.RCE12D_RB_I
5214,0,35T.RCE12E_RB_I
5300,0,35T.RCE13A_SET_V
5301,0,35T.RCE13B_SET_V
5302,0,35T.RCE13C_SET_V
5303,0,35T.RCE13D_SET_V
5304,0,35T.RCE13E_SET_V
5305,0,35T.RCE13A_RB_V
5306,0,35T.RCE13B_RB_V
5307,0,35T.RCE13C_RB_V
5308,0,35T.RCE13D_RB_V
5309,0,35T.RCE13E_RB_V
5310,0,35T.RCE13A_RB_I
5311,0,35T.RCE13B_RB_I
5312,0,35T.RCE13C_RB_I
5313,0,35T.RCE13D_RB_I
5314,0,35T.RCE13E_RB_I
5400,0,35T.RCE14A_SET_V
5401,0,35T.RCE14B_SET_V
5402,0,35T.RCE14C_SET_V
5403,0,35T.RCE14D_SET_V
5404,0,35T.RCE14E_SET_V
5405,0,35T.RCE14A_RB_V
5406,0,35T.RCE14B_RB_V
5407,0,35T.RCE14C_RB_V
5408,0,35T.RCE14D_RB_V
5409,0,35T.RCE14E_RB_V
5410,0,35T.RCE14A_RB_I
5411,0,35T.RCE14B_RB_I
5412,0,35T.RCE14C_RB_I
5413,0,35T.RCE14D_RB_I
5414,0,35T.RCE14E_RB_I
5500,0,35T.RCE15A_SET_V
5501,0,35T.RCE15B_SET_V
5502,0,35T.RCE15C_SET_V
5503,0,35T.RCE15D_SET_V
5504,0,35T.RCE15E_SET_V
5505,0,35T.RCE15A_RB_V
5506,0,35T.RCE15B_RB_V
5507,0,35T.RCE15C_RB_V
5508,0,35T.RCE15D_RB_V
5509,0,35T.RCE15E_RB_V
5510,0,35T.RCE15A_RB_I
5511,0,35T.RCE15B_RB_I
5512,0,35T.RCE15C_RB_I
5513,0,35T.RCE15D_RB_I
5514,0,35T.RCE15E_RB_I
5520,0,35T.LV_P
6000,0,35T.RTD1_TEMP_1
6001,0,35T.RTD1_TEMP_2
6100,0,35T.PRM_ANODEPEAK_0
6101,0,35T.PRM_ANODETIME_0
6102,0,35T.PRM_CATHODEPEAK_0
6103,0,35T.PRM_CATHODETIME_0
6104,0,35T.PRM_IMPURITIES_0
6105,0,35T.PRM_LIFETIME_0
6106,0,35T.PRM_ANODEPEAK_1
6107,0,35T.PRM_ANODETIME_1
6108,0,35T.PRM_CATHODEPEAK_1
6109,0,35T.PRM_CATHODETIME_1
6110,0,35T.PRM_IMPURITIES_1
6111,0,35T.PRM_LIFETIME_1
6112,0,35T.PRM_ANODEPEAK_2
6113,0,35T.PRM_ANODETIME_2
6114,0,35T.PRM_CATHODEPEAK_2
6115,0,35T.PRM_CATHODETIME_2
6116,0,35T.PRM_IMPURITIES_2
6117,0,35T.PRM_LIFETIME_2
6118,0,35T.PRM_ANODEPEAK_3
6119,0,35T.PRM_ANODETIME_3
6120,0,35T.PRM_CATHODEPEAK_3
6121,0,35T.PRM_CATHODETIME_3
6122,0,35T.PRM_IMPURITIES_3
6123,0,35T.PRM_LIFETIME_3
6124,0,35T.PRM_ANODEPEAK_4
6125,0,35T.PRM_ANODETIME_4
6126,0,35T.PRM_CATHODEPEAK_4
6127,0,35T.PRM_CATHODETIME_4
6128,0,35T.PRM_IMPURITIES_4
6129,0,35T.PRM_LIFETIME_4
6200,0,35T.VFD_VOLTAGE
6201,0,35T.VFD_CURRENT
6202,0,35T.VFD_TRUE_POWER
6203,0,35T.VFD_FREQ
6300,0,35T.ACCEL_RMS
6301,0,35T.ACCEL_RPM
